id,pollutant,category_id,r.squared,sigma,statistic,df.residual
1,CO,1,0.32734700126040506,2.106627004456144,7.432482250377558,168
2,NOx,1,0.2637481398562859,2.0319811539827977,5.503728726127116,169
3,VOCs,1,0.4061931827847265,1.8757010935813336,10.509485867741732,169
4,CO2,1,0.5728805298725685,3.9575700447893674,11.266628630846194,84
5,PM10,1,0.503447295664854,1.897935972063907,15.300445057720315,166
