id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,year,prior_cost,cost,icost,prior_reduction,reduction,ireduction,z,diversification,emissions,status,base_emissions,base_vmt,base_ef,units,total_cost,n_years,max_annual_policies,min_annual_policies,min_total_policies,max_total_policies,max_annual_policy_scale,max_total_cost,max_annual_cost,min_annual_cost,min_total_cost,min_emissions_chg,min_annual_emissions_chg,effect_emissions,effect_vmt,effect_ef,geoid,max_abs_diff
1,0,0,100,0,0,0,0,0,100,0,2025,0,6000000,0.00777000777000777,0,7195.769976652121,0.9638227904769243,0.48579639912346606,0.2888888888888889,354831.2300233479,success,362027,787066250.4,4.5997017381448123e-4,30000,10,1,10,0,1,10,100,30000000,30000000,0,0,0,0,7195.769976652121,24785090.0888443,-2.0443646775447633e-6,36109,1
1,0,0,100,0,0,0,0,0,100,0,2026,6000000,12000000,0.01554001554001554,7195.769976652121,14391.539953304242,0.9276455809538487,0.4715927982469321,0.2888888888888889,343638.2200466958,success,358029.76,792534838.66,4.517527085690626e-4,30000,10,2,10,0,1,20,100,60000000,30000000,0,0,0,0,7195.769976652121,24620643.138885498,-2.0786705690056806e-6,36109,1
1,0,0,100,0,0,0,0,0,100,0,2027,12000000,18000000,0.023310023310023312,14391.539953304242,21587.309929956362,0.8914683714307732,0.4573891973703982,0.2888888888888889,332445.2100700437,success,354032.52,798003426.92,4.4364786924090726e-4,30000,10,3,10,0,1,30,100,90000000,30000000,0,0,0,0,7195.769976652121,24455442.309379578,-2.114308728096148e-6,36109,1
1,0,0,100,0,0,0,0,0,100,0,2028,18000000,24000000,0.03108003108003108,21587.309929956362,28783.079906608484,0.8552911619076975,0.4431855964938643,0.2888888888888889,321252.20009339147,success,350035.27999999997,803472015.1800001,4.356533561677096e-4,30000,10,4,10,0,1,40,100,120000000,30000000,0,0,0,0,7195.769976652121,24289494.037628174,-2.1509460879087783e-6,36109,1
1,0,0,100,0,0,0,0,0,100,0,2029,24000000,30000000,0.03885003885003885,28783.079906608484,35978.849883260606,0.8191139523846218,0.42898199561733036,0.2888888888888889,310059.19011673937,success,346038.04,808940603.44,4.2776693187173657e-4,30000,10,5,10,0,1,50,100,150000000,30000000,0,0,0,0,7195.769976652121,24122810.84060669,-2.188582648443571e-6,36109,1
1,0,0,100,0,0,0,0,0,100,0,2030,30000000,36000000,0.046620046620046623,35978.849883260606,43174.619859912724,0.7829367428615462,0.41477839474079636,0.2888888888888889,298866.18014008726,success,342040.8,814409191.7,4.199864189720441e-4,30000,10,6,10,0,1,60,100,180000000,30000000,0,0,0,0,7195.769976652121,23955332.279205322,-2.2272184097005265e-6,36109,1
1,0,0,100,0,0,0,0,0,100,0,2031,36000000,42000000,0.05439005439005439,43174.619859912724,50370.38983656484,0.7467595333384707,0.4005747938642625,0.2888888888888889,289505.03016343515,success,339875.42,818788307.48,4.15095595400038e-4,30000,10,7,10,0,1,70,100,210000000,30000000,0,0,0,0,7195.769976652121,23864279.15096283,-2.248867758680717e-6,36109,1
1,0,0,100,0,0,0,0,0,100,0,2032,42000000,48000000,0.06216006216006216,50370.38983656484,57566.15981321696,0.710582323815395,0.3863711929877286,0.2888888888888889,280143.88018678303,success,337710.04,823167423.26,4.102568085876902e-4,30000,10,8,10,0,1,80,100,240000000,30000000,0,0,0,0,7195.769976652121,23772994.995117188,-2.2705171076609076e-6,36109,1
1,0,0,100,0,0,0,0,0,100,0,2033,48000000,54000000,0.06993006993006994,57566.15981321696,64761.92978986908,0.6744051142923193,0.37216759211119466,0.2888888888888889,270782.730210131,success,335544.66000000003,827546539.0400001,4.054692324485466e-4,30000,10,9,10,0,1,90,100,270000000,30000000,0,0,0,0,7195.769976652121,23681483.030319214,-2.2924995235484857e-6,36109,1
1,0,0,100,0,0,0,0,0,100,0,2034,54000000,60000000,0.0777000777000777,64761.92978986908,71957.6997665212,0.6382279047692438,0.35796399123466066,0.2888888888888889,261421.58023347883,success,333379.28,831925654.82,4.0073205828966986e-4,30000,10,10,10,0,1,100,100,300000000,30000000,0,0,0,0,7195.769976652121,23589719.653129578,-2.315148073250839e-6,36109,1
1,0,0,100,0,0,0,0,0,100,0,2035,60000000,66000000,0.08547008547008547,71957.6997665212,79153.46974317332,0.6020506952461682,0.34376039035812683,0.2888888888888889,252060.4302568267,success,331213.9,836304770.6,3.9604449435625403e-4,30000,10,11,10,0,1,110,100,330000000,30000000,0,0,0,0,7195.769976652121,23497736.33480072,-2.3381296898605797e-6,36109,1
1,0,0,100,0,0,0,0,0,100,0,2036,66000000,72000000,0.09324009324009325,79153.46974317332,86349.23971982545,0.5658734857230925,0.3295567894815929,0.2888888888888889,245223.66028017458,success,331572.9,842280334.14,3.9366097789585516e-4,30000,10,12,10,0,1,120,100,360000000,30000000,0,0,0,0,7195.769976652121,23512999.534606934,-2.334132886971929e-6,36109,1
1,0,0,100,0,0,0,0,0,100,0,2037,72000000,78000000,0.10101010101010101,86349.23971982545,93545.00969647757,0.5296962762000168,0.3153531886050589,0.2888888888888889,238386.89030352246,success,331931.9,848255897.68,3.913110429386246e-4,30000,10,13,10,0,1,130,100,390000000,30000000,0,0,0,0,7195.769976652121,23528273.820877075,-2.330469150990666e-6,36109,1
1,0,0,100,0,0,0,0,0,100,0,2038,78000000,84000000,0.10878010878010878,93545.00969647757,100740.7796731297,0.4935190666769411,0.30114958772852496,0.2888888888888889,231550.12032687032,success,332290.9,854231461.22,3.889939847514248e-4,30000,10,14,10,0,1,140,100,420000000,30000000,0,0,0,0,7195.769976652121,23543514.847755432,-2.326805415009403e-6,36109,1
