id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,year,units,prior_cost,cost,icost,z,diversification,status,prior_reduction98,reduction98,ireduction98,geoid,base_vmt,base_emissions98,base_ef98,total_cost,n_years,max_annual_policies,min_annual_policies,min_total_policies,max_total_policies,max_annual_policy_scale,max_total_cost,max_annual_cost,min_annual_cost,min_total_cost,min_emissions_chg98,min_annual_emissions_chg98,emissions98,effect_emissions98,effect_ef98,effect_vmt,max_abs_diff
1,0,0,100,0,0,0,0,0,100,100,2025,30000,0,9920726.432999996,0.007466104085763954,0.6041896477547201,0.3777777777777778,success,0,7810.826496783968,0.960730553138941,36109,787066250.4,362027,4.5997017381448123e-4,11.023029369999996,1,10,0,1,10,100,33069088.10999999,33069088.10999999,10000,0,0,0,354216.173503216,7810.826496783968,-3.3154104461807776e-6,24785090.0888443,1
1,0,0,100,0,0,0,0,0,100,100,2026,30000,9920726.432999996,20168836.838288993,0.01517858960635812,0.5835024862268553,0.3777777777777778,success,7810.826496783968,15621.652993567935,0.9214611062778819,36109,792534838.66,358029.76,4.517527085690626e-4,11.386789339209997,2,10,0,1,20,100,68320736.03525998,34160368.01762999,10000,0,0,0,342408.1070064321,7810.826496783968,-3.3714437491783045e-6,24620643.138885498,1
1,0,0,100,0,0,0,0,0,100,100,2027,30000,20168836.838288993,30755134.886952527,0.02314558714913189,0.5629425807100802,0.3777777777777778,success,15621.652993567935,23432.479490351903,0.8821916594168229,36109,798003426.92,354032.52,4.4364786924090726e-4,11.762553387403925,3,10,0,1,30,100,105862980.48663533,35287660.162211776,10000,0,0,0,330600.0405096481,7810.826496783968,-3.429069528326778e-6,24455442.309379578,1
1,0,0,100,0,0,0,0,0,100,100,2028,30000,30755134.886952527,41690780.77122196,0.0313754956108172,0.5425141306527611,0.3777777777777778,success,23432.479490351903,31243.30598713587,0.8429222125557638,36109,803472015.1800001,350035.27999999997,4.356533561677096e-4,12.150717649188254,4,10,0,1,40,100,145808611.79025903,36452152.94756476,10000,0,0,0,318791.9740128641,7810.826496783968,-3.4883658461826172e-6,24289494.037628174,1
1,0,0,100,0,0,0,0,0,100,100,2029,30000,41690780.77122196,52987302.96967228,0.03987699105173812,0.5222214740850596,0.3777777777777778,success,31243.30598713587,39054.132483919835,0.8036527656947049,36109,808940603.44,346038.04,4.2776693187173657e-4,12.551691331611465,5,10,0,1,50,100,188275369.97417197,37655073.99483439,10000,0,0,0,306983.90751608013,7810.826496783968,-3.5493847444501014e-6,24122810.84060669,1
1,0,0,100,0,0,0,0,0,100,100,2030,30000,52987302.96967228,64656610.40067145,0.048659035842209424,0.5020690921921334,0.3777777777777778,success,39054.132483919835,46864.9589807038,0.7643833188336459,36109,814409191.7,342040.8,4.199864189720441e-4,12.965897145554644,6,10,0,1,60,100,233386148.61998358,38897691.43666393,10000,0,0,0,295175.8410192962,7810.826496783968,-3.6121886731743658e-6,23955332.279205322,1
1,0,0,100,0,0,0,0,0,100,100,2031,30000,64656610.40067145,76711004.9768936,0.057730888110766286,0.4820616140382499,0.3777777777777778,success,46864.9589807038,54675.78547748776,0.7251138719725869,36109,818788307.48,339875.42,4.15095595400038e-4,13.393771751357946,7,10,0,1,70,100,281269206.7785169,40181315.254073836,10000,0,0,0,285199.6345225122,7810.826496783968,-3.6469889608259365e-6,23864279.15096283,1
1,0,0,100,0,0,0,0,0,100,100,2032,30000,76711004.9768936,89163194.57413109,0.06710211150418553,0.4622038214467977,0.3777777777777778,success,54675.78547748776,62486.61197427173,0.6858444251115279,36109,823167423.26,337710.04,4.102568085876902e-4,13.835766219152756,8,10,0,1,80,100,332058389.25966614,41507298.65745827,10000,0,0,0,275223.42802572827,7810.826496783968,-3.6823460947132958e-6,23772994.995117188,1
1,0,0,100,0,0,0,0,0,100,100,2033,30000,89163194.57413109,102026306.4280774,0.0767825852695876,0.4425006540413368,0.3777777777777778,success,62486.61197427173,70297.43847105569,0.6465749782504688,36109,827546539.0400001,335544.66000000003,4.054692324485466e-4,14.292346504384795,9,10,0,1,90,100,385893355.6183895,42877039.51315439,10000,0,0,0,265247.2215289443,7810.826496783968,-3.7182808915181553e-6,23681483.030319214,1
1,0,0,100,0,0,0,0,0,100,100,2034,30000,102026306.4280774,115313900.97320394,0.08678251466924794,0.4229572144530051,0.3777777777777778,success,70297.43847105569,78108.26496783966,0.6073055313894098,36109,831925654.82,333379.28,4.0073205828966986e-4,14.763993939029493,10,10,0,1,100,100,442919818.1708848,44291981.81708848,10000,0,0,0,255271.0150321604,7810.826496783968,-3.754803759581371e-6,23589719.653129578,1
